,VILLE,REVENU FISCAL DE RÉFÉRENCE,TAUX DE CHÔMAGE,BÉNÉFICIAIRES DU RSA,Salaires mensuels nets moyens,Pourcentage de salariés en CDI,Nombres d'entreprises,ISF moyen par foyer nc,Bénéficiaires de la CAF,Population
10,"<td><a href=""https://www.linternaute.com/ville/anzin/ville-59014"">Anzin</a></td>",<td>15 398 €</td>,"<td>27,68 %</td>","<td>7,58 %</td>","<td>1 871,92 €</td>","<td>77,86 %</td>",<td>772 entreprises</td>,<td>nc</td>,"<td>31,44 %</td>",<td>13 303 hab.</td>
11,"<td><a href=""https://www.linternaute.com/ville/stains/ville-93072"">Stains</a></td>",<td>15 715 €</td>,"<td>21,88 %</td>","<td>7,18 %</td>","<td>1 860,93 €</td>","<td>79,27 %</td>",<td>2 953 entreprises</td>,<td>nc</td>,"<td>27,49 %</td>",<td>38 666 hab.</td>
12,"<td><a href=""https://www.linternaute.com/ville/boulogne-sur-mer/ville-62160"">Boulogne-sur-Mer</a></td>",<td>16 981 €</td>,"<td>26,66 %</td>","<td>7,35 %</td>","<td>1 908,36 €</td>","<td>74,93 %</td>",<td>2 524 entreprises</td>,<td>8 971 €</td>,"<td>30,93 %</td>",<td>40 664 hab.</td>
13,"<td><a href=""https://www.linternaute.com/ville/la-chapelle-saint-luc/ville-10081"">La Chapelle-Saint-Luc</a></td>",<td>16 417 €</td>,"<td>29,07 %</td>","<td>7,52 %</td>","<td>1 850,91 €</td>","<td>78,64 %</td>",<td>754 entreprises</td>,<td>nc</td>,"<td>29,42 %</td>",<td>11 913 hab.</td>
14,"<td><a href=""https://www.linternaute.com/ville/aubervilliers/ville-93001"">Aubervilliers</a></td>",<td>13 863 €</td>,"<td>21,95 %</td>","<td>8,73 %</td>","<td>1 850,24 €</td>","<td>80,69 %</td>",<td>12 201 entreprises</td>,<td>nc</td>,"<td>29,47 %</td>",<td>87 572 hab.</td>
15,"<td><a href=""https://www.linternaute.com/ville/conde-sur-l-escaut/ville-59153"">Condé-sur-l'Escaut</a></td>",<td>15 572 €</td>,"<td>28,68 %</td>","<td>8,09 %</td>",<td>1 876 €</td>,"<td>78,51 %</td>",<td>344 entreprises</td>,<td>nc</td>,"<td>27,87 %</td>",<td>9 586 hab.</td>
16,"<td><a href=""https://www.linternaute.com/ville/ales/ville-30007"">Alès</a></td>",<td>17 779 €</td>,"<td>27,10 %</td>","<td>7,85 %</td>","<td>1 899,85 €</td>","<td>79,68 %</td>",<td>3 765 entreprises</td>,<td>7 670 €</td>,"<td>31,01 %</td>",<td>40 802 hab.</td>
17,"<td><a href=""https://www.linternaute.com/ville/auchel/ville-62048"">Auchel</a></td>",<td>16 320 €</td>,"<td>25,64 %</td>","<td>7,06 %</td>","<td>1 887,20 €</td>","<td>76,85 %</td>",<td>427 entreprises</td>,<td>nc</td>,"<td>26,66 %</td>",<td>10 399 hab.</td>
18,"<td><a href=""https://www.linternaute.com/ville/le-cateau-cambresis/ville-59136"">Le Cateau-Cambrésis</a></td>",<td>15 347 €</td>,"<td>30,71 %</td>","<td>8,78 %</td>","<td>1 804,63 €</td>","<td>75,71 %</td>",<td>345 entreprises</td>,<td>nc</td>,"<td>28,58 %</td>",<td>6 951 hab.</td>
19,"<td><a href=""https://www.linternaute.com/ville/sainte-marie/ville-97228"">Sainte-Marie</a></td>",<td>12 995 €</td>,"<td>28,35 %</td>",<td>13 %</td>,"<td>1 962,82 €</td>","<td>78,55 %</td>",<td>1 130 entreprises</td>,<td>nc</td>,"<td>31,10 %</td>",<td>15 571 hab.</td>
20,"<td><a href=""https://www.linternaute.com/ville/grigny/ville-91286"">Grigny</a></td>",<td>14 939 €</td>,"<td>22,13 %</td>","<td>5,27 %</td>","<td>1 786,86 €</td>","<td>78,68 %</td>",<td>1 979 entreprises</td>,<td>nc</td>,"<td>23,40 %</td>",<td>28 265 hab.</td>
21,"<td><a href=""https://www.linternaute.com/ville/hirson/ville-02381"">Hirson</a></td>",<td>15 276 €</td>,"<td>30,48 %</td>","<td>8,11 %</td>","<td>1 876,83 €</td>","<td>78,55 %</td>",<td>327 entreprises</td>,<td>nc</td>,"<td>26,77 %</td>",<td>8 800 hab.</td>
22,"<td><a href=""https://www.linternaute.com/ville/elbeuf/ville-76231"">Elbeuf</a></td>",<td>16 207 €</td>,"<td>29,58 %</td>","<td>9,21 %</td>","<td>2 010,05 €</td>","<td>72,35 %</td>",<td>1 066 entreprises</td>,<td>nc</td>,"<td>34,86 %</td>",<td>16 205 hab.</td>
23,"<td><a href=""https://www.linternaute.com/ville/grande-synthe/ville-59271"">Grande-Synthe</a></td>",<td>16 844 €</td>,"<td>28,14 %</td>","<td>5,79 %</td>","<td>1 975,78 €</td>","<td>76,33 %</td>",<td>633 entreprises</td>,<td>nc</td>,"<td>24,38 %</td>",<td>22 777 hab.</td>
24,"<td><a href=""https://www.linternaute.com/ville/lisieux/ville-14366"">Lisieux</a></td>",<td>18 076 €</td>,"<td>21,82 %</td>","<td>5,24 %</td>","<td>1 900,60 €</td>","<td>76,21 %</td>",<td>1 580 entreprises</td>,<td>nc</td>,"<td>29,73 %</td>",<td>20 171 hab.</td>
25,"<td><a href=""https://www.linternaute.com/ville/laon/ville-02408"">Laon</a></td>",<td>18 041 €</td>,"<td>25,45 %</td>","<td>6,97 %</td>","<td>1 891,60 €</td>","<td>79,66 %</td>",<td>1 246 entreprises</td>,<td>7 498 €</td>,"<td>29,58 %</td>",<td>24 710 hab.</td>
26,"<td><a href=""https://www.linternaute.com/ville/venissieux/ville-69259"">Vénissieux</a></td>",<td>17 837 €</td>,"<td>23,25 %</td>","<td>5,99 %</td>","<td>1 953,96 €</td>","<td>79,53 %</td>",<td>4 817 entreprises</td>,<td>nc</td>,"<td>28,46 %</td>",<td>67 129 hab.</td>
27,"<td><a href=""https://www.linternaute.com/ville/behren-les-forbach/ville-57058"">Behren-lès-Forbach</a></td>",<td>15 223 €</td>,"<td>31,03 %</td>","<td>5,61 %</td>","<td>1 800,34 €</td>","<td>74,81 %</td>",<td>277 entreprises</td>,<td>nc</td>,"<td>24,28 %</td>",<td>6 604 hab.</td>
28,"<td><a href=""https://www.linternaute.com/ville/lens/ville-62498"">Lens</a></td>",<td>16 379 €</td>,"<td>28,64 %</td>","<td>8,50 %</td>","<td>1 912,98 €</td>","<td>79,12 %</td>",<td>2 133 entreprises</td>,<td>9 699 €</td>,"<td>31,87 %</td>",<td>31 606 hab.</td>
29,"<td><a href=""https://www.linternaute.com/ville/louvroil/ville-59365"">Louvroil</a></td>",<td>13 520 €</td>,"<td>37,41 %</td>","<td>10,44 %</td>","<td>1 915,17 €</td>","<td>75,93 %</td>",<td>274 entreprises</td>,<td>nc</td>,"<td>28,57 %</td>",<td>6 405 hab.</td>
30,"<td><a href=""https://www.linternaute.com/ville/tarbes/ville-65440"">Tarbes</a></td>",<td>18 402 €</td>,"<td>21,30 %</td>","<td>5,78 %</td>","<td>1 923,13 €</td>","<td>74,93 %</td>",<td>3 721 entreprises</td>,<td>8 770 €</td>,"<td>36,34 %</td>",<td>42 426 hab.</td>
31,"<td><a href=""https://www.linternaute.com/ville/waziers/ville-59654"">Waziers</a></td>",<td>16 126 €</td>,"<td>26,94 %</td>","<td>6,53 %</td>","<td>1 896,18 €</td>","<td>76,94 %</td>",<td>327 entreprises</td>,<td>nc</td>,"<td>25,20 %</td>",<td>7 427 hab.</td>
32,"<td><a href=""https://www.linternaute.com/ville/le-portel/ville-62667"">Le Portel</a></td>",<td>17 636 €</td>,"<td>21,52 %</td>","<td>5,59 %</td>","<td>1 854,32 €</td>","<td>77,85 %</td>",<td>339 entreprises</td>,<td>nc</td>,"<td>26,46 %</td>",<td>9 157 hab.</td>
33,"<td><a href=""https://www.linternaute.com/ville/le-lorrain/ville-97214"">Le Lorrain</a></td>",<td>11 770 €</td>,"<td>26,47 %</td>","<td>11,72 %</td>","<td>1 860,07 €</td>","<td>78,06 %</td>",<td>500 entreprises</td>,<td>nc</td>,"<td>30,81 %</td>",<td>6 824 hab.</td>
34,"<td><a href=""https://www.linternaute.com/ville/lievin/ville-62510"">Liévin</a></td>",<td>16 926 €</td>,"<td>25,66 %</td>","<td>6,65 %</td>","<td>1 921,69 €</td>","<td>81,51 %</td>",<td>1 275 entreprises</td>,<td>nc</td>,"<td>27,32 %</td>",<td>30 423 hab.</td>
35,"<td><a href=""https://www.linternaute.com/ville/lourdes/ville-65286"">Lourdes</a></td>",<td>18 122 €</td>,"<td>25,33 %</td>","<td>4,72 %</td>","<td>1 794,13 €</td>","<td>77,56 %</td>",<td>1 634 entreprises</td>,<td>nc</td>,"<td>29,61 %</td>",<td>13 210 hab.</td>
36,"<td><a href=""https://www.linternaute.com/ville/saint-fons/ville-69199"">Saint-Fons</a></td>",<td>17 239 €</td>,"<td>22,08 %</td>","<td>5,49 %</td>","<td>1 892,22 €</td>","<td>79,36 %</td>",<td>1 437 entreprises</td>,<td>nc</td>,"<td>26,24 %</td>",<td>19 254 hab.</td>
37,"<td><a href=""https://www.linternaute.com/ville/villiers-le-bel/ville-95680"">Villiers-le-Bel</a></td>",<td>16 436 €</td>,"<td>20,76 %</td>","<td>5,83 %</td>","<td>1 843,61 €</td>","<td>80,97 %</td>",<td>2 086 entreprises</td>,<td>nc</td>,"<td>26,58 %</td>",<td>28 041 hab.</td>
38,"<td><a href=""https://www.linternaute.com/ville/riviere-pilote/ville-97220"">Rivière-Pilote</a></td>",<td>15 065 €</td>,"<td>31,42 %</td>","<td>10,55 %</td>","<td>1 964,54 €</td>","<td>79,55 %</td>",<td>991 entreprises</td>,<td>nc</td>,"<td>28,21 %</td>",<td>11 972 hab.</td>
39,"<td><a href=""https://www.linternaute.com/ville/villetaneuse/ville-93079"">Villetaneuse</a></td>",<td>16 291 €</td>,"<td>22,61 %</td>","<td>5,67 %</td>","<td>1 868,87 €</td>","<td>80,29 %</td>",<td>845 entreprises</td>,<td>nc</td>,"<td>25,40 %</td>",<td>13 557 hab.</td>
40,"<td><a href=""https://www.linternaute.com/ville/bohain-en-vermandois/ville-02095"">Bohain-en-Vermandois</a></td>",<td>15 372 €</td>,"<td>31,73 %</td>","<td>7,60 %</td>","<td>1 837,42 €</td>","<td>77,08 %</td>",<td>233 entreprises</td>,<td>nc</td>,"<td>26,20 %</td>",<td>5 675 hab.</td>
41,"<td><a href=""https://www.linternaute.com/ville/jeumont/ville-59324"">Jeumont</a></td>",<td>16 251 €</td>,"<td>29,37 %</td>","<td>8,27 %</td>","<td>1 978,98 €</td>","<td>79,39 %</td>",<td>315 entreprises</td>,<td>nc</td>,"<td>26,42 %</td>",<td>10 229 hab.</td>
42,"<td><a href=""https://www.linternaute.com/ville/grenay/ville-62386"">Grenay</a></td>",<td>15 483 €</td>,"<td>21,36 %</td>","<td>5,77 %</td>","<td>1 814,34 €</td>","<td>78,78 %</td>",<td>195 entreprises</td>,<td>nc</td>,"<td>27,78 %</td>",<td>6 851 hab.</td>
43,"<td><a href=""https://www.linternaute.com/ville/bouillante/ville-97106"">Bouillante</a></td>",<td>14 025 €</td>,"<td>33,76 %</td>","<td>12,44 %</td>","<td>1 930,52 €</td>","<td>74,16 %</td>",<td>806 entreprises</td>,<td>nc</td>,"<td>29,02 %</td>",<td>6 935 hab.</td>
44,"<td><a href=""https://www.linternaute.com/ville/vesoul/ville-70550"">Vesoul</a></td>",<td>18 868 €</td>,"<td>20,08 %</td>","<td>5,73 %</td>","<td>1 880,58 €</td>","<td>76,41 %</td>",<td>1 402 entreprises</td>,<td>nc</td>,"<td>32,52 %</td>",<td>14 973 hab.</td>
45,"<td><a href=""https://www.linternaute.com/ville/escaudain/ville-59205"">Escaudain</a></td>",<td>16 328 €</td>,"<td>26,74 %</td>","<td>5,79 %</td>","<td>1 927,57 €</td>","<td>79,14 %</td>",<td>353 entreprises</td>,<td>nc</td>,"<td>23,90 %</td>",<td>9 645 hab.</td>
46,"<td><a href=""https://www.linternaute.com/ville/val-de-reuil/ville-27701"">Val-de-Reuil</a></td>",<td>16 712 €</td>,"<td>24,05 %</td>","<td>4,64 %</td>","<td>1 953,60 €</td>","<td>74,05 %</td>",<td>681 entreprises</td>,<td>nc</td>,"<td>26,76 %</td>",<td>13 114 hab.</td>
47,"<td><a href=""https://www.linternaute.com/ville/montargis/ville-45208"">Montargis</a></td>",<td>18 148 €</td>,"<td>28,19 %</td>","<td>9,35 %</td>","<td>1 986,20 €</td>","<td>78,83 %</td>",<td>1 310 entreprises</td>,<td>nc</td>,"<td>32,28 %</td>",<td>14 789 hab.</td>
48,"<td><a href=""https://www.linternaute.com/ville/aniche/ville-59008"">Aniche</a></td>",<td>17 244 €</td>,"<td>23,69 %</td>","<td>6,39 %</td>","<td>1 952,40 €</td>","<td>78,80 %</td>",<td>421 entreprises</td>,<td>nc</td>,"<td>25,70 %</td>",<td>10 146 hab.</td>
49,"<td><a href=""https://www.linternaute.com/ville/beuvrages/ville-59079"">Beuvrages</a></td>",<td>16 986 €</td>,"<td>27,25 %</td>","<td>6,86 %</td>","<td>1 930,59 €</td>","<td>79,63 %</td>",<td>172 entreprises</td>,<td>nc</td>,"<td>26,29 %</td>",<td>6 821 hab.</td>
50,"<td><a href=""https://www.linternaute.com/ville/tergnier/ville-02738"">Tergnier</a></td>",<td>17 733 €</td>,"<td>25,13 %</td>","<td>5,84 %</td>","<td>1 931,69 €</td>","<td>80,59 %</td>",<td>374 entreprises</td>,<td>nc</td>,"<td>24,77 %</td>",<td>13 547 hab.</td>
51,"<td><a href=""https://www.linternaute.com/ville/vaulx-en-velin/ville-69256"">Vaulx-en-Velin</a></td>",<td>17 264 €</td>,"<td>22,29 %</td>","<td>5,87 %</td>","<td>1 941,06 €</td>","<td>81,10 %</td>",<td>4 580 entreprises</td>,<td>nc</td>,"<td>26,56 %</td>",<td>50 823 hab.</td>
52,"<td><a href=""https://www.linternaute.com/ville/argentan/ville-61006"">Argentan</a></td>",<td>18 953 €</td>,"<td>20,74 %</td>","<td>5,36 %</td>","<td>1 846,92 €</td>","<td>77,21 %</td>",<td>775 entreprises</td>,<td>nc</td>,"<td>25,77 %</td>",<td>13 730 hab.</td>
53,"<td><a href=""https://www.linternaute.com/ville/billy-montigny/ville-62133"">Billy-Montigny</a></td>",<td>16 841 €</td>,"<td>23,75 %</td>","<td>6,85 %</td>","<td>1 909,14 €</td>","<td>78,95 %</td>",<td>360 entreprises</td>,<td>nc</td>,"<td>25,93 %</td>",<td>8 167 hab.</td>
54,"<td><a href=""https://www.linternaute.com/ville/divion/ville-62270"">Divion</a></td>",<td>16 932 €</td>,"<td>23,56 %</td>","<td>6,19 %</td>","<td>1 905,73 €</td>","<td>79,01 %</td>",<td>209 entreprises</td>,<td>nc</td>,"<td>25,94 %</td>",<td>6 977 hab.</td>
55,"<td><a href=""https://www.linternaute.com/ville/la-grand-combe/ville-30132"">La Grand-Combe</a></td>",<td>12 019 €</td>,"<td>40,19 %</td>","<td>13,03 %</td>","<td>1 729,63 €</td>","<td>77,49 %</td>",<td>291 entreprises</td>,<td>nc</td>,"<td>30,63 %</td>",<td>5 021 hab.</td>
56,"<td><a href=""https://www.linternaute.com/ville/raismes/ville-59491"">Raismes</a></td>",<td>17 493 €</td>,"<td>27,61 %</td>","<td>6,57 %</td>","<td>1 969,37 €</td>","<td>80,13 %</td>",<td>479 entreprises</td>,<td>nc</td>,"<td>26,22 %</td>",<td>12 468 hab.</td>
57,"<td><a href=""https://www.linternaute.com/ville/chalette-sur-loing/ville-45068"">Châlette-sur-Loing</a></td>",<td>17 611 €</td>,"<td>26,16 %</td>","<td>5,47 %</td>","<td>1 944,28 €</td>","<td>78,64 %</td>",<td>608 entreprises</td>,<td>nc</td>,"<td>24,29 %</td>",<td>12 790 hab.</td>
58,"<td><a href=""https://www.linternaute.com/ville/le-marin/ville-97217"">Le Marin</a></td>",<td>16 707 €</td>,"<td>25,13 %</td>","<td>10,01 %</td>","<td>1 964,52 €</td>","<td>75,33 %</td>",<td>1 066 entreprises</td>,<td>nc</td>,"<td>26,97 %</td>",<td>8 771 hab.</td>
59,"<td><a href=""https://www.linternaute.com/ville/lormont/ville-33249"">Lormont</a></td>",<td>17 547 €</td>,"<td>21,36 %</td>","<td>5,06 %</td>","<td>1 893,10 €</td>","<td>80,73 %</td>",<td>2 354 entreprises</td>,<td>nc</td>,"<td>30,21 %</td>",<td>23 128 hab.</td>
60,"<td><a href=""https://www.linternaute.com/ville/vieux-habitants/ville-97134"">Vieux-Habitants</a></td>",<td>13 448 €</td>,"<td>34,89 %</td>","<td>13,02 %</td>","<td>1 912,60 €</td>","<td>79,35 %</td>",<td>591 entreprises</td>,<td>nc</td>,"<td>30,65 %</td>",<td>7 154 hab.</td>
61,"<td><a href=""https://www.linternaute.com/ville/guingamp/ville-22070"">Guingamp</a></td>",<td>16 642 €</td>,"<td>21,38 %</td>","<td>7,77 %</td>","<td>1 924,20 €</td>","<td>72,34 %</td>",<td>537 entreprises</td>,<td>nc</td>,"<td>38,90 %</td>",<td>7 022 hab.</td>
62,"<td><a href=""https://www.linternaute.com/ville/roubaix/ville-59512"">Roubaix</a></td>",<td>15 061 €</td>,"<td>31,10 %</td>","<td>10,61 %</td>","<td>1 945,74 €</td>","<td>77,12 %</td>",<td>7 992 entreprises</td>,<td>14 195 €</td>,"<td>33,44 %</td>",<td>98 089 hab.</td>
63,"<td><a href=""https://www.linternaute.com/ville/vierzon/ville-18279"">Vierzon</a></td>",<td>18 851 €</td>,"<td>23,42 %</td>",<td>6 %</td>,"<td>1 927,20 €</td>","<td>80,29 %</td>",<td>1 402 entreprises</td>,<td>nc</td>,"<td>25,09 %</td>",<td>25 725 hab.</td>
64,"<td><a href=""https://www.linternaute.com/ville/calonne-ricouart/ville-62194"">Calonne-Ricouart</a></td>",<td>16 633 €</td>,"<td>22,88 %</td>","<td>6,08 %</td>","<td>1 858,87 €</td>","<td>78,65 %</td>",<td>158 entreprises</td>,<td>nc</td>,"<td>27,11 %</td>",<td>5 520 hab.</td>
65,"<td><a href=""https://www.linternaute.com/ville/gros-morne/ville-97212"">Gros-Morne</a></td>",<td>15 014 €</td>,"<td>31,43 %</td>","<td>11,90 %</td>","<td>1 977,26 €</td>","<td>79,65 %</td>",<td>709 entreprises</td>,<td>nc</td>,"<td>29,15 %</td>",<td>9 755 hab.</td>
66,"<td><a href=""https://www.linternaute.com/ville/bruay-sur-l-escaut/ville-59112"">Bruay-sur-l'Escaut</a></td>",<td>17 077 €</td>,"<td>25,19 %</td>","<td>6,73 %</td>","<td>1 956,32 €</td>","<td>80,49 %</td>",<td>462 entreprises</td>,<td>nc</td>,"<td>26,71 %</td>",<td>11 311 hab.</td>
67,"<td><a href=""https://www.linternaute.com/ville/clichy-sous-bois/ville-93014"">Clichy-sous-Bois</a></td>",<td>15 632 €</td>,"<td>19,90 %</td>","<td>7,42 %</td>","<td>1 867,74 €</td>","<td>81,87 %</td>",<td>2 478 entreprises</td>,<td>nc</td>,"<td>24,39 %</td>",<td>28 992 hab.</td>
68,"<td><a href=""https://www.linternaute.com/ville/dieppe/ville-76217"">Dieppe</a></td>",<td>18 943 €</td>,"<td>23,93 %</td>","<td>6,89 %</td>","<td>2 029,40 €</td>","<td>75,94 %</td>",<td>1 932 entreprises</td>,<td>7 794 €</td>,"<td>30,07 %</td>",<td>28 561 hab.</td>
69,"<td><a href=""https://www.linternaute.com/ville/maromme/ville-76410"">Maromme</a></td>",<td>17 895 €</td>,"<td>25,33 %</td>","<td>5,78 %</td>","<td>1 964,62 €</td>","<td>79,58 %</td>",<td>514 entreprises</td>,<td>nc</td>,"<td>29,99 %</td>",<td>10 730 hab.</td>
70,"<td><a href=""https://www.linternaute.com/ville/romilly-sur-seine/ville-10323"">Romilly-sur-Seine</a></td>",<td>17 708 €</td>,"<td>26,58 %</td>","<td>5,81 %</td>","<td>1 877,23 €</td>","<td>81,11 %</td>",<td>783 entreprises</td>,<td>nc</td>,"<td>24,51 %</td>",<td>14 328 hab.</td>
71,"<td><a href=""https://www.linternaute.com/ville/la-ricamarie/ville-42183"">La Ricamarie</a></td>",<td>17 294 €</td>,"<td>21,51 %</td>","<td>5,40 %</td>","<td>1 901,13 €</td>","<td>76,77 %</td>",<td>443 entreprises</td>,<td>nc</td>,"<td>25,76 %</td>",<td>7 889 hab.</td>
72,"<td><a href=""https://www.linternaute.com/ville/montataire/ville-60414"">Montataire</a></td>",<td>17 360 €</td>,"<td>22,11 %</td>","<td>5,44 %</td>","<td>1 982,56 €</td>","<td>78,50 %</td>",<td>673 entreprises</td>,<td>nc</td>,"<td>26,01 %</td>",<td>13 461 hab.</td>
73,"<td><a href=""https://www.linternaute.com/ville/marles-les-mines/ville-62555"">Marles-les-Mines</a></td>",<td>14 822 €</td>,"<td>22,97 %</td>","<td>5,95 %</td>","<td>1 832,69 €</td>","<td>80,67 %</td>",<td>138 entreprises</td>,<td>nc</td>,"<td>28,02 %</td>",<td>5 561 hab.</td>
74,"<td><a href=""https://www.linternaute.com/ville/avesnes-sur-helpe/ville-59036"">Avesnes-sur-Helpe</a></td>",<td>14 110 €</td>,"<td>38,46 %</td>","<td>11,35 %</td>","<td>1 852,46 €</td>","<td>75,12 %</td>",<td>287 entreprises</td>,<td>nc</td>,"<td>34,30 %</td>",<td>4 345 hab.</td>
75,"<td><a href=""https://www.linternaute.com/ville/escautpont/ville-59207"">Escautpont</a></td>",<td>16 583 €</td>,"<td>27,37 %</td>","<td>5,28 %</td>","<td>1 862,34 €</td>","<td>75,55 %</td>",<td>128 entreprises</td>,<td>nc</td>,"<td>25,36 %</td>",<td>4 173 hab.</td>
76,"<td><a href=""https://www.linternaute.com/ville/rouvroy/ville-62724"">Rouvroy</a></td>",<td>17 511 €</td>,"<td>22,19 %</td>","<td>5,47 %</td>","<td>1 942,16 €</td>","<td>79,16 %</td>",<td>327 entreprises</td>,<td>nc</td>,"<td>25,87 %</td>",<td>8 912 hab.</td>
77,"<td><a href=""https://www.linternaute.com/ville/saint-omer/ville-62765"">Saint-Omer</a></td>",<td>19 910 €</td>,"<td>26,78 %</td>","<td>7,83 %</td>","<td>2 002,90 €</td>","<td>72,96 %</td>",<td>1 163 entreprises</td>,<td>nc</td>,"<td>32,30 %</td>",<td>14 726 hab.</td>
78,"<td><a href=""https://www.linternaute.com/ville/woippy/ville-57751"">Woippy</a></td>",<td>18 906 €</td>,"<td>23,72 %</td>","<td>6,29 %</td>","<td>1 972,08 €</td>","<td>79,62 %</td>",<td>931 entreprises</td>,<td>nc</td>,"<td>28,38 %</td>",<td>13 998 hab.</td>
79,"<td><a href=""https://www.linternaute.com/ville/allonnes/ville-72003"">Allonnes</a></td>",<td>17 802 €</td>,"<td>21,23 %</td>","<td>4,08 %</td>","<td>1 927,98 €</td>","<td>78,04 %</td>",<td>313 entreprises</td>,<td>nc</td>,"<td>24,98 %</td>",<td>11 075 hab.</td>
80,"<td><a href=""https://www.linternaute.com/ville/avion/ville-62065"">Avion</a></td>",<td>17 103 €</td>,"<td>22,21 %</td>","<td>6,23 %</td>","<td>2 005,97 €</td>","<td>80,21 %</td>",<td>574 entreprises</td>,<td>nc</td>,"<td>25,79 %</td>",<td>17 583 hab.</td>
81,"<td><a href=""https://www.linternaute.com/ville/bobigny/ville-93008"">Bobigny</a></td>",<td>16 365 €</td>,"<td>21,07 %</td>","<td>6,62 %</td>","<td>1 836,65 €</td>","<td>83,05 %</td>",<td>6 342 entreprises</td>,<td>nc</td>,"<td>26,59 %</td>",<td>54 272 hab.</td>
82,"<td><a href=""https://www.linternaute.com/ville/noyelles-sous-lens/ville-62628"">Noyelles-sous-Lens</a></td>",<td>16 384 €</td>,"<td>20,54 %</td>","<td>5,53 %</td>","<td>1 865,14 €</td>","<td>80,31 %</td>",<td>220 entreprises</td>,<td>nc</td>,"<td>27,29 %</td>",<td>6 646 hab.</td>
83,"<td><a href=""https://www.linternaute.com/ville/noyon/ville-60471"">Noyon</a></td>",<td>17 684 €</td>,"<td>26,42 %</td>","<td>6,99 %</td>","<td>2 007,05 €</td>","<td>79,21 %</td>",<td>823 entreprises</td>,<td>nc</td>,"<td>28,12 %</td>",<td>13 235 hab.</td>
